001100;1
011-111;2
222-101;2
220110;2
201000;1
201200;0
200110;2
011100;1
222100;2
220-101;2
111000;1
001110;1
001210;1
111100;1
220100;2
222-111;0
222200;2
-1-1-1010;0
-1-1-1210;0
201010;2
200000;0
201210;0
011210;1
222210;2
222010;2
220-111;0
111110;1
111-101;2
001200;1
111210;1
220210;2
200200;2
011010;1
200-101;2
200010;0
011200;1
201-111;0
200210;2
011000;0
201100;0
222000;2
001010;0
011-101;1
111200;1
220000;2
220200;2
-1-1-1110;0
200-111;0
201110;0
200100;2
011110;1
222110;2
220010;2
111010;1
001000;1
201-101;1
